tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,conditions
36.1,28.4,32.1,75.5,1.1,100,25,11.3,993.2,8,1,32,2423.55,7.7,164.9424519,"Rain, Partially cloudy"
37.5,21.1,28.6,41.7,0,0,0,17.6,1005.1,4,0,16,1192.62,16.4,151.7310608,Clear
40.1,21.9,31.7,30.7,0,0,0,27.7,1001.7,4,1,16,973.19,18.2,118.2111334,Partially cloudy
36.4,21,29.9,27.4,0,0,0,22.3,1002.5,4,2,16,819.26,15.4,113.3203542,Clear
37.5,21.7,30.6,23.7,0,0,0,12.4,1003.4,4,3,16,725.22,15.8,101.4070384,Clear
37.3,21.4,30.3,27.2,0,0,0,14.8,1004,4,4,16,824.16,15.9,111.9869377,Clear
37.7,22.2,30.6,27.8,0,0,0,16,1003.9,4,5,16,850.68,15.5,113.056248,Partially cloudy
37,23.9,28.4,39.5,0,0,0,27.7,1007.2,4,6,16,1121.8,13.1,147.7320704,Partially cloudy
31.7,21.1,26.9,49.5,0,0,0,22.3,1010.4,4,0,17,1331.55,10.6,172.9920285,Partially cloudy
34,23.3,29.1,42.8,0,0,0,14,1010.4,4,1,17,1245.48,10.7,152.1546831,Partially cloudy
36,23.8,30.8,38.8,0,0,0,11.2,1010.2,4,2,17,1195.04,12.2,138.6173517,Clear
37.7,24.8,31.5,39.1,0,0,0,20.5,1009,4,3,17,1231.65,12.9,137.0816904,Partially cloudy
34.3,25.4,30.9,41.5,0,0,0,27.5,1009,4,4,17,1282.35,8.9,143.5319391,Partially cloudy
37.7,24.2,31.8,32.7,0,0,0,24.1,1008.4,4,5,17,1039.86,13.5,122.70073,Partially cloudy
37,23.4,31.2,29.6,0,0,0,25.9,1006.5,4,6,17,923.52,13.6,116.5622355,Partially cloudy
39.1,26.5,32.8,24.3,0,0,0,17.3,1005.8,4,0,18,797.04,12.6,99.82332374,Partially cloudy
40.1,24.9,32.9,31.3,0,0,0,18.4,1005.9,4,1,18,1029.77,15.2,116.9750132,Partially cloudy
37.1,24.1,30.8,45.3,0,0,0,14.5,1004.8,5,0,20,1395.24,13,150.4905878,Partially cloudy
42.1,25.6,33.7,31.8,0,0,0,46.4,1002.7,5,1,20,1071.66,16.5,116.3239149,Partially cloudy
41.1,25.9,33.8,29.6,0,0,0,16.3,1001.6,5,2,20,1000.48,15.2,111.2316307,Partially cloudy
35.6,27.5,31.2,83.8,9.357,100,8.33,9.4,994,7,3,30,2614.56,8.1,165.8014797,"Rain, Partially cloudy"
42.1,25.4,34.4,25,0,0,0,20.9,1001.3,5,4,20,860,16.7,99.26327746,Clear
44.1,26.2,35.9,22.2,0,0,0,38.2,1000.8,5,5,20,796.98,17.9,90.38937608,Clear
45,27.2,36.7,19.2,0,0,0,25.8,1000.4,5,6,20,704.64,17.8,82.10793805,Clear
44,30.9,37.4,17.7,0,0,0,22.7,1000.9,5,0,21,661.98,13.1,77.81107961,Clear
46,29.1,37.1,18.4,0,0,0,24.3,1000.6,5,1,21,682.64,16.9,79.78274474,Clear
46.2,30,37.2,18.2,0,0,0,25.3,1000.4,5,2,21,677.04,16.2,79.20777356,Clear
46.1,31,38.2,19.1,0,0,0,24.8,998.8,5,3,21,729.62,15.1,80.74119947,Clear
47.7,31.2,38.5,22.3,0,0,0,27.9,998.3,5,4,21,858.55,16.5,87.82116032,Clear
43.1,31.8,38.1,23.7,0,0,0,21.1,999.4,5,5,21,902.97,11.3,91.32257896,Clear
43.1,30.9,37.1,23.6,0,0,0,22.3,1000.3,5,6,21,875.56,12.2,92.30256748,Clear
42.1,31.1,36.1,32,0,0,0,22.3,1000.7,5,0,22,1155.2,11,111.6075465,Partially cloudy
44,30.5,36.5,29.4,0,0,0,21.7,1001.3,5,1,22,1073.1,13.5,105.6891351,Partially cloudy
42,29.3,36,22.3,0,0,0,19.8,1001.1,5,2,22,802.8,12.7,90.52293137,Partially cloudy
40,29.1,34.7,22.4,0,0,0,19.7,1000.3,5,3,22,777.28,10.9,92.28346501,Clear
33.1,27,30.7,69.3,0,0,0,21.5,999.4,6,3,24,2127.51,6.1,172.5697666,Partially cloudy
36,30.8,33,70,0.6,100,4.17,14.8,994.2,7,1,27,2310,5.2,160.9851697,"Rain, Partially cloudy"
34,29.1,31.1,82.6,13.15,100,8.33,20.2,994.6,8,2,32,2568.86,4.9,167.1932172,"Rain, Partially cloudy"
33,26,30,87.5,32.565,100,12.5,14.8,994.8,7,2,30,2625,7,169.735012,"Rain, Partially cloudy"
36.8,28.8,32.3,74.8,0.5,100,16.67,18.4,995,8,0,32,2416.04,8,164.0630638,"Rain, Partially cloudy"
30.1,25,27.2,87.2,26.37,100,12.5,16.6,995.1,6,0,25,2371.84,5.1,187.3489626,"Rain, Partially cloudy"
33,27.1,30.9,85.7,32.459,100,8.33,11.2,995.4,7,4,30,2648.13,5.9,166.0368608,"Rain, Partially cloudy"
42.8,31.8,37.5,38.1,4.253,100,4.17,23.7,995.6,7,3,26,1428.75,11,118.8067719,"Rain, Partially cloudy"
