tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,condition_severity
22.0,10.1,15.2,91.6,0.0,0,0.0,12.2,1012.4,12,2,51,1392.32,11.9,274.34927,1
21.5,11.9,16.2,88.2,0.0,0,0.0,14.0,1012.2,12,3,51,1428.84,9.6,267.9415734,0
18.9,13.0,15.0,93.6,0.0,0,0.0,13.0,1015.4,12,4,51,1404.0,5.9,274.4532674,1
16.0,13.0,14.2,96.6,0.0,0,0.0,11.2,1016.5,12,5,51,1371.72,3.0,278.5479406,1
17.2,13.0,15.1,93.2,0.0,0,0.0,11.2,1017.9,12,6,51,1407.32,4.2,273.9304853,1
18.0,11.0,14.0,93.3,0.0,0,0.0,18.1,1020.0,12,0,52,1306.2,7.0,283.5931819,1
19.3,9.0,12.6,87.0,0.0,0,0.0,18.4,1021.1,12,1,52,1096.2,10.3,299.447942,1
20.0,6.0,12.3,68.9,0.0,0,0.0,25.7,1020.2,12,2,52,847.47,14.0,291.1385847,0
20.1,5.4,12.2,62.1,0.0,0,0.0,17.7,1019.3,12,3,52,757.62,14.7,280.1640497,0
36.0,26.0,31.8,69.3,4.403,100,4.17,18.4,997.5,7,2,27,2203.74,10.0,166.9228406,2
19.3,5.0,11.6,61.5,0.0,0,0.0,16.2,1018.5,12,5,52,713.4,14.3,283.183885,0
18.7,3.5,10.5,63.2,0.0,0,0.0,16.6,1018.2,12,6,52,663.6,15.2,294.791852,0
35.6,28.9,32.3,73.1,0.3,100,8.33,13.0,997.6,7,6,28,2361.13,6.7,164.3602098,2
16.9,8.9,13.4,87.8,1.8,100,12.5,17.6,1019.6,12,1,1,1176.52,8.0,292.140432,3
20.8,7.9,13.5,73.6,0.0,0,0.0,11.2,1019.4,1,0,3,993.6,12.9,287.209357,1
21.5,7.4,14.2,75.4,0.0,0,0.0,13.0,1016.8,1,1,3,1070.68,14.1,283.1075397,1
16.0,9.4,12.0,93.0,0.0,0,0.0,9.4,1018.8,1,2,3,1116.0,6.6,302.1029133,1
15.3,9.4,12.1,94.7,0.0,0,0.0,10.4,1019.1,1,3,3,1145.87,5.9,299.8070553,1
32.3,26.0,28.3,86.3,0.5,100,12.5,16.2,997.6,7,2,31,2442.29,6.3,181.1273165,2
38.8,27.8,34.2,60.0,1.149,100,4.17,18.4,997.6,6,3,23,2052.0,11.0,152.6103889,2
19.7,10.0,13.8,85.3,0.0,0,0.0,14.8,1023.4,1,6,3,1177.14,9.7,289.2326631,1
21.0,8.0,13.1,88.6,0.0,0,0.0,10.4,1020.9,1,0,4,1160.66,13.0,294.5126666,1
32.5,27.4,29.4,86.0,1.045,100,4.17,22.3,997.6,7,5,28,2528.4,5.1,174.6347035,2
35.2,27.9,30.0,85.3,3.966,100,4.17,10.8,997.7,8,6,31,2559.0,7.3,171.6145554,2
19.5,12.7,15.4,94.3,0.0,0,0.0,11.8,1020.3,1,3,4,1452.22,6.8,270.2867291,1
17.3,11.0,13.1,93.8,0.0,0,0.0,16.6,1018.9,1,4,4,1228.78,6.3,291.3236084,1
14.1,10.0,11.2,99.2,0.0,0,0.0,14.8,1019.2,1,5,4,1111.04,4.1,303.6096406,1
20.0,9.0,13.2,90.9,0.0,0,0.0,14.2,1018.8,1,6,4,1199.88,11.0,292.4945796,1
23.2,8.4,15.0,81.9,0.0,0,0.0,21.3,1018.8,1,0,5,1228.5,14.8,279.1973622,0
23.2,8.6,15.6,77.1,0.0,0,0.0,20.5,1016.8,1,1,5,1202.76,14.6,273.0503773,0
22.0,11.0,15.5,83.1,0.0,0,0.0,17.3,1017.5,1,2,5,1288.05,11.0,275.1197915,1
22.4,11.0,14.6,91.6,0.0,0,0.0,9.6,1018.9,1,3,5,1337.36,11.4,279.5874021,1
19.8,10.0,13.2,94.9,0.0,0,0.0,11.2,1019.1,1,4,5,1252.68,9.8,289.4257544,1
22.1,6.0,14.1,67.5,0.0,0,0.0,18.4,1012.8,2,3,7,951.75,16.1,275.6303697,1
14.1,11.0,13.0,93.5,41.681,100,12.5,14.5,1012.1,2,4,7,1215.5,3.1,292.4866556,3
17.0,10.0,12.7,90.0,0.0,0,0.0,9.4,1011.6,2,5,7,1143.0,7.0,297.4921961,1
19.1,6.0,12.7,85.7,0.0,0,0.0,18.4,1014.7,2,6,7,1088.39,13.1,298.7722013,1
21.0,7.6,13.8,77.1,0.0,0,0.0,28.1,1017.4,2,0,8,1063.98,13.4,287.4030317,0
22.7,8.0,14.6,68.4,0.0,0,0.0,22.3,1017.4,2,1,8,998.64,14.7,273.1519384,0
